,user,text,favorite_count,retweet_count,created_at
162,iamsrk,Guys and girls thank u https://t.co/Za2MgF56Yo,3341,732,2023-02-06 09:03:21+00:00
163,iamsrk,Have a good party thank u https://t.co/j3g683VNMP,3340,716,2023-02-06 09:03:02+00:00
164,iamsrk,Nice thank u https://t.co/rVY9q4972V,3663,725,2023-02-06 09:02:44+00:00
165,iamsrk,Uff this is unbelievable!! Thank u https://t.co/nCXaQfLZ5G,8284,948,2023-02-06 09:02:16+00:00
166,iamsrk,Love u all https://t.co/jhlHdk33US,3469,745,2023-02-06 09:01:44+00:00
167,iamsrk,Thank u boys and girls https://t.co/24BVwc2aef,3117,696,2023-02-06 09:01:32+00:00
168,iamsrk,Have fun but keep it safe thank u https://t.co/F3WLBlmW7Y,4801,900,2023-02-06 08:56:00+00:00
169,iamsrk,Well done thank u https://t.co/Siqqhner0Y,4124,831,2023-02-06 08:55:23+00:00
170,iamsrk,Thank u boys and girls https://t.co/1gI24tMrlp,3737,786,2023-02-06 08:55:05+00:00
171,iamsrk,Thank u all https://t.co/fFijJrdMgh,3810,833,2023-02-06 08:54:15+00:00
172,iamsrk,Thank u https://t.co/IquQnv2KXI,3460,770,2023-02-06 08:53:57+00:00
173,iamsrk,That is very sweet and sexy thank u https://t.co/3tvj55G499,4122,855,2023-02-06 08:53:33+00:00
174,iamsrk,Thank u so much https://t.co/32V9SplxA0,3735,823,2023-02-06 08:53:04+00:00
175,iamsrk,Thank u boys and girls and the kids https://t.co/6axzLKLj1S,3976,866,2023-02-06 08:52:44+00:00
176,iamsrk,This is too sweet thank u https://t.co/Q1MsseMvOC,4633,894,2023-02-06 08:52:23+00:00
177,iamsrk,So happy to see happy people https://t.co/8mSg9dX5q7,4157,910,2023-02-06 08:51:28+00:00
178,iamsrk,Thank u all hope u enjoyed it https://t.co/O5lN9QY7n1,5755,990,2023-02-06 08:48:30+00:00
179,iamsrk,Thank u https://t.co/rZpZdiuNIy,8952,1237,2023-02-06 08:47:28+00:00
180,iamsrk,Thank u all the girls!! https://t.co/udA88HGjVY,4319,941,2023-02-06 08:47:02+00:00
181,iamsrk,Thank u boys and girls https://t.co/oTHCbikOFC,3560,803,2023-02-06 08:46:37+00:00
182,iamsrk,Thank u boys and girls https://t.co/YQqcH6AQ7H,3663,843,2023-02-06 08:45:52+00:00
183,iamsrk,Thank u boys and girls https://t.co/F3WLBlmW7Y,4187,906,2023-02-06 08:45:05+00:00
184,iamsrk,Thank u boys and girls https://t.co/bK7hUCLVJj,25442,1586,2023-02-06 08:42:48+00:00
185,iamsrk,Thank u boys and girls https://t.co/J1yDGVYQrq,9970,1292,2023-02-06 08:39:45+00:00
186,iamsrk,Thank u boys and girls https://t.co/TeoDPq3Hlk,10436,1663,2023-02-06 08:33:01+00:00
187,iamsrk,Col Luthraji ko bataya aapne ki aap meri pehli heroine hain!! Or should we keep it a Top Secret otherwise he may fire me from the agency!!! https://t.co/GsCj5h0vC2,80969,6359,2023-02-05 12:12:39+00:00
188,iamsrk,Oh oh!! Have to work harder now. Back to the drawing board. Can’t let the younger audience be disappointed. Desh ke youth ka sawaal hai. PS: Try DDLJ on her please….maybe she is the romantic types….kids u never know! https://t.co/UBpSnLOZrf,48661,4870,2023-02-05 07:30:50+00:00
189,iamsrk,Please mera vote bhi daal dena….I am over 18!! I know it’s hard to believe but it’s true. Best of luck to my Darlings!!! https://t.co/T17DAM11wW,16502,2244,2023-02-04 09:22:49+00:00
190,iamsrk,Now I should end #AskSRK otherwise all will feel I am workless!! Gotta look busy everyone. Thank u for your time and have a good weekend. I am going to watch  #Pathaan oops I mean I am going for hard work. Love u all,42454,3435,2023-02-04 07:27:01+00:00
191,iamsrk,Controlled Dine…Never Whine…Cherish Mine…&amp; In darkness try to Shine. Now run out of Rhyme!! https://t.co/1budwRxjPp,20051,2286,2023-02-04 07:22:20+00:00
192,iamsrk,Thank you boys and girls love to u https://t.co/xIsltLJRcp,9903,1494,2023-02-04 07:17:05+00:00
193,iamsrk,The people were so kind there and hospitable. https://t.co/WTpbhMEQFA,8626,1357,2023-02-04 07:16:23+00:00
